type,name,description,gbif_prov,gbif_data,broad_taxa,taxa,logo,website
Recording Scheme,Acari Recording Scheme,,,,4. Invertebrates: Non-insects,Mites,,
Society,Amphibian and Reptile Conservation,,d4b5490a-3267-4e96-94b3-9b93ea167051,,2. Vertebrates,Amphibians and reptiles,amph_rep_cons-logo.jpg,https://www.arc-trust.org/
Recording Scheme,Amphibian and Reptile Groups of the UK,,3ce82624-d07f-4a56-88c8-a903321a90fc,,2. Vertebrates,Amphibians and reptiles,,https://www.arguk.org/
Recording Scheme,Anthomyiidae Recording Scheme,,,cf0a605d-7e32-4482-9e45-1a83bfd8061a,3. Invertebrates: Flies,Anthomyiid flies,,https://www.dipterists.org.uk/anthomyiid-scheme/home
Recording Scheme,Aquatic Coleoptera Recording Scheme,Now overseen by the Aquatic Coleoptera Conservation Trust but historically was run by the Balfour-Browne Club,76e846b0-1332-411e-a4fc-4e2251bfeea5; 9cb12d76-b816-41ad-aaed-1f71aa344034,,3. Invertebrates: Beetles,Aquatic beetles,,https://www.latissimus.org/
Recording Scheme,Aquatic Heteroptera Recording Scheme,,2fc95322-47d4-4137-8ce7-f2a6e64f1209,80455677-4c00-4c3d-8290-446e459a9e9c,3. Invertebrates: Other insects,Water bugs,,https://aquaticbugs.com/
Recording Scheme,Auchenorrhyncha Recording Scheme,,,03eafed8-48c0-4561-a7d5-827e2e946b3d,3. Invertebrates: Other insects,Leafhoppers & froghoppers,,https://www.ledra.co.uk/
Recording Scheme,Barkfly Recording Scheme,,,bd3d6dd9-6ee1-4261-ade3-305d82e5d9bf,3. Invertebrates: Flies,Barkflies,,https://www.brc.ac.uk/schemes/barkfly/homepage.htm
Recording Scheme,"Bees, Wasps and Ants Recording Society",,,51b7fe74-b4d9-4027-bd75-8425bfcf5300,3. Invertebrates: Other insects,"Bees, Wasps, Ants",,https://bwars.com/
Monitoring Scheme,Beewalks,,,80df9ab6-fb28-422c-8b86-e92cf9bfdbf7,3. Invertebrates: Other insects,Bumblebees,,https://beewalk.org.uk/
Recording Scheme,Botanical Society of Britain and Ireland,,aa569acf-991d-4467-b327-8442f30ddbd2,,"1. Plants, lichens and fungi",Flowering plants & ferns,,https://bsbi.org/
Monitoring Scheme,Breeding Bird Survey,British Trust for Ornithology,,,2. Vertebrates,Birds,,https://www.bto.org/get-involved/volunteer/projects/bbs
Recording Scheme,British Bryological Society,,32f1b389-5871-4da3-832f-9a89132520c5,,"1. Plants, lichens and fungi",Mosses & liverworts,,https://www.britishbryologicalsociety.org.uk/
Recording Scheme,British Dragonfly Society Recording Scheme,British Dragonfly Society,980451bb-e9d8-4984-8d68-0d9772ea1582,1270b3c8-ff55-4b63-a407-dcd7e08cd23f,3. Invertebrates: Other insects,Dragonflies & damselflies,,https://british-dragonflies.org.uk/
Study Group,Migrant Dragonfly Project,Run by the British Dragonfly Society,980451bb-e9d8-4984-8d68-0d9772ea1582,,3. Invertebrates: Other insects,Dragonflies & damselflies,,https://british-dragonflies.org.uk/recording/migrant-dragonfly-project/
Recording Scheme,British Lichen Society,,90da406e-9e67-4830-a480-befef56beedb,,"1. Plants, lichens and fungi",Lichens,,http://www.britishlichensociety.org.uk/
Recording Scheme,British Mycological Society,,764dc23f-4a2f-4d81-93cb-3cf16077d191,,"1. Plants, lichens and fungi",Fungi,,https://www.britmycolsoc.org.uk/recording-fungi.html
Recording Scheme,Centipede Recording Scheme,Run by the British Myriapod and Isopod Group,,,4. Invertebrates: Non-insects,Centipedes,,https://bmig.org.uk/
Recording Scheme,Marine Isopod Recording Scheme,Run by the British Myriapod and Isopod Group,,,4. Invertebrates: Non-insects,Marine isopods,,https://bmig.org.uk/
Recording Scheme,Millipede Recording Scheme,Run by the British Myriapod and Isopod Group,,b0a1b3d7-4383-4fa5-a5c9-ae2c1124297e,4. Invertebrates: Non-insects,Millipedes,,https://bmig.org.uk/
